id,codigoCatastral,tipo,descripcion,valorBaseMensual,disponible
1,INM-70364,Parqueadero Cubierto,Acabados de lujo y eficiencia energética.,10188747,True
2,INM-28887,Parqueadero Cubierto,Cerca a centros comerciales y transporte público.,9222292,True
3,INM-93666,Oficina Corporativa,Seguridad reforzada y acceso controlado.,12867984,True
4,INM-15647,Oficina Corporativa,Espacio abierto con doble altura.,1625472,True
5,INM-95503,Local Comercial,Acabados de lujo y eficiencia energética.,8185484,True
6,INM-77635,Local Comercial,Cerca a centros comerciales y transporte público.,5558335,True
7,INM-29843,Parqueadero Cubierto,Seguridad reforzada y acceso controlado.,3437318,True
8,INM-56063,Penthouse,Ubicado en zona norte con vista panorámica.,13831534,True
9,INM-40969,Casa Campestre,Ubicación estratégica en el centro financiero.,14004687,True
10,INM-95719,Consultorio Médico,Cerca a centros comerciales y transporte público.,11753934,True
11,INM-70792,Lote Urbanizado,Ubicación estratégica en el centro financiero.,7564630,True
12,INM-98464,Parqueadero Cubierto,Seguridad reforzada y acceso controlado.,801665,True
13,INM-36471,Local Comercial,Ubicación estratégica en el centro financiero.,11184939,True
14,INM-47733,Consultorio Médico,Espacio abierto con doble altura.,13722998,True
15,INM-99795,Penthouse,Acabados de lujo y eficiencia energética.,11307923,True
16,INM-46932,Casa Campestre,Acabados de lujo y eficiencia energética.,12784222,True
17,INM-31833,Bodega Industrial,Espacio abierto con doble altura.,5527689,True
18,INM-42506,Casa Campestre,Acabados de lujo y eficiencia energética.,11802329,True
19,INM-21309,Local Comercial,Área residencial tranquila con zonas verdes.,2361809,True
20,INM-28830,Bodega Industrial,Ubicación estratégica en el centro financiero.,6072327,True
21,INM-64246,Local Comercial,Ubicado en zona norte con vista panorámica.,5299709,True
22,INM-45303,Local Comercial,Espacio abierto con doble altura.,12347602,True
23,INM-24323,Local Comercial,Ubicación estratégica en el centro financiero.,3026832,True
24,INM-95811,Parqueadero Cubierto,Seguridad reforzada y acceso controlado.,13392853,True
25,INM-49249,Bodega Industrial,Cerca a centros comerciales y transporte público.,10866980,True
26,INM-22188,Penthouse,Área residencial tranquila con zonas verdes.,8039526,True
27,INM-79372,Lote Urbanizado,Área residencial tranquila con zonas verdes.,1651686,True
28,INM-52452,Penthouse,Seguridad reforzada y acceso controlado.,8517854,True
29,INM-79690,Casa Campestre,Área residencial tranquila con zonas verdes.,12605263,True
30,INM-50023,Oficina Corporativa,Cerca a centros comerciales y transporte público.,3761961,True
31,INM-97112,Bodega Industrial,Ubicación estratégica en el centro financiero.,14767890,True
32,INM-18839,Local Comercial,Cerca a centros comerciales y transporte público.,14331463,True
33,INM-36240,Apartamento Studio,Cerca a centros comerciales y transporte público.,5868110,True
34,INM-30731,Penthouse,Cerca a centros comerciales y transporte público.,918835,True
35,INM-63224,Parqueadero Cubierto,Espacio abierto con doble altura.,2312413,True
36,INM-17755,Oficina Corporativa,Acabados de lujo y eficiencia energética.,5868524,True
37,INM-19691,Consultorio Médico,Ubicado en zona norte con vista panorámica.,9262872,True
38,INM-97715,Penthouse,Cerca a centros comerciales y transporte público.,7238363,True
39,INM-98848,Casa Campestre,Acabados de lujo y eficiencia energética.,7091114,True
40,INM-43866,Apartamento Studio,Ubicado en zona norte con vista panorámica.,2104713,True
41,INM-55740,Oficina Corporativa,Ubicado en zona norte con vista panorámica.,5910669,True
42,INM-58047,Oficina Corporativa,Seguridad reforzada y acceso controlado.,5502850,True
43,INM-79411,Oficina Corporativa,Acabados de lujo y eficiencia energética.,5363156,True
44,INM-20746,Consultorio Médico,Cerca a centros comerciales y transporte público.,1010816,True
45,INM-12949,Apartamento Studio,Cerca a centros comerciales y transporte público.,6440720,True
46,INM-91641,Bodega Industrial,Ubicación estratégica en el centro financiero.,13282418,True
47,INM-22186,Apartamento Studio,Seguridad reforzada y acceso controlado.,8538156,True
48,INM-22377,Bodega Industrial,Cerca a centros comerciales y transporte público.,13032099,True
49,INM-47539,Penthouse,Cerca a centros comerciales y transporte público.,1557730,True
50,INM-75952,Consultorio Médico,Ubicación estratégica en el centro financiero.,7976109,True
51,INM-15782,Apartamento Studio,Seguridad reforzada y acceso controlado.,8551543,True
